10 2 987654321.987654
10 2 -987654321.54321
2 10 01000000000110011101011011110011010001010100011111100110100110101101010000101100001111001001111011101100101111111011000101011011
2 10 11000000000110011101011011110011010001010100011111100110100110101101010000101100001111001001111011101100101111111011000101011011
10 12345677896437.534575 + 1234353213.6463247
10 756463244363442.7465465234 - 664652343657.878524
10 -4564564756.7567456 - 2353634.23463
10 5345454435 - 455646553635
10 123456789.12345 - 123456789.12345
10 123456789.123456 - 1234567890
10 45435424442.1325345 * 132533324.13424
10 76763452324.2344535 / 34234242.1658898
2 01000000000110011101011011110011010001010100011111100110100110101101010000101100001111001001111011101100101111111011000101011011 + 11000000000110011101011011110011010001010100011111100110100110101101010000101100001111001001111011101100101111111011000101011011
2 01000000000110011101011011110011010001010100011111100110100110101101010000101100001111001001111011101100101111111011000101011011 - 11000000000110011101011011110011010001010100011111100110100110101101010000101100001111001001111011101100101111111011000101011011
2 01000000000110011101011011110011010001010100011111100110100110101101010000101100001111001001111011101100101111111011000101011011 * 11000000000110011101011011110011010001010100011111100110100110101101010000101100001111001001111011101100101111111011000101011011
2 01000000000110011101011011110011010001010100011111100110100110101101010000101100001111001001111011101100101111111011000101011011 / 11000000000110011101011011110011010001010100011111100110100110101101010000101100001111001001111011101100101111111011000101011011
